timestamp,cpu_percent,mem_percent,gpu_util_percent,gpu_mem_used_mb
1746386873.247868201,2.85%,14.4274%,0%,2%
1746386904.333576410,9.43%,29.8417%,99%,40%
1746386935.408629353,9.36%,28.577%,98%,40%
1746386966.489167325,9.48%,28.5222%,99%,40%
1746386997.571210269,9.72%,28.5407%,98%,40%
1746387028.653250078,75.16%,31.6156%,3%,19%
1746387059.767439627,68.83%,32.1181%,5%,19%
1746387090.857550724,7.16%,26.1679%,94%,29%
1746387121.932644595,6.99%,25.2385%,94%,28%
1746387153.008116063,6.88%,22.0731%,94%,28%
1746387184.093897299,5.82%,18.4873%,18%,18%
1746387215.170701418,49.42%,25.5669%,10%,15%
1746387246.274666009,35.47%,20.5189%,2%,12%
1746387277.349599027,23.39%,24.2281%,3%,15%
1746387308.438789227,3.13%,21.9932%,20%,15%
1746387339.524344900,3.13%,18.482%,23%,15%
1746387370.600053594,3.22%,18.1639%,20%,15%
1746387401.677449642,3.22%,17.9539%,18%,15%
1746387432.751316992,3.22%,18.1341%,20%,15%
1746387463.828285839,3.56%,17.9461%,23%,15%
1746387494.906097558,3.18%,17.9169%,19%,15%
1746387525.981851306,37.12%,20.4355%,6%,12%
1746387557.062543587,1.94%,16.5137%,0%,9%
1746387588.166737558,27.76%,25.0343%,3%,20%
1746387619.276321399,3.16%,23.1246%,21%,20%
1746387650.352610010,3.12%,18.5065%,18%,20%
1746387681.435694729,3.19%,18.0268%,18%,20%
1746387712.511130921,3.19%,17.9708%,19%,19%
1746387743.593942577,3.12%,17.9484%,18%,19%
1746387774.677850379,3.15%,17.9469%,18%,19%
1746387805.752520014,3.16%,17.9479%,18%,19%
1746387836.827730072,3.12%,17.948%,19%,19%
1746387867.904524202,3.16%,17.9443%,18%,19%
1746387898.981057182,3.13%,17.9398%,18%,19%
1746387930.064606622,3.19%,18.1013%,18%,20%
1746387961.140876468,3.16%,18.0578%,18%,20%
1746387992.215650258,2.10%,13.882%,0%,9%
1746388023.290400223,40.26%,19.1892%,9%,12%
1746388054.367135923,25.79%,24.6358%,0%,22%
1746388085.469326477,17.92%,25.9165%,0%,22%
1746388116.584775919,2.32%,22.8372%,20%,22%
1746388147.660563190,3.22%,18.7513%,18%,22%
1746388178.734034808,3.12%,18.2157%,19%,22%
1746388209.817736664,3.12%,18.182%,17%,22%
1746388240.886410262,3.06%,18.1591%,19%,22%
1746388271.961525022,3.13%,18.1391%,17%,22%
1746388303.046262550,3.12%,18.1563%,17%,22%
1746388334.117933240,3.10%,18.1423%,20%,22%
1746388365.203337218,3.13%,18.1877%,20%,22%
1746388396.283468146,3.25%,18.2263%,21%,22%
1746388427.368432120,3.09%,18.21%,18%,22%
1746388458.436481277,3.13%,18.1981%,18%,22%
1746388489.514107266,2.78%,18.2113%,0%,22%
1746388520.587910506,32.52%,19.6986%,0%,11%
1746388551.680390657,27.80%,24.2045%,5%,23%
1746388582.789643337,26.40%,25.3793%,0%,23%
1746388613.903458414,27.67%,25.0567%,0%,23%
1746388645.018538383,3.16%,19.7735%,20%,23%
1746388676.093635029,3.13%,18.7203%,18%,23%
1746388707.175897064,3.12%,18.497%,19%,23%
1746388738.258975280,3.13%,18.3891%,18%,23%
1746388769.342057364,3.16%,18.3713%,19%,23%
1746388800.417100158,3.15%,18.2857%,21%,23%
1746388831.488029618,3.16%,18.2953%,22%,23%
1746388862.561187697,3.12%,18.2891%,19%,23%
1746388893.637190573,3.10%,18.282%,19%,23%
1746388924.721103855,3.09%,18.2845%,18%,23%
1746388955.803476658,3.15%,18.2596%,21%,23%
1746388986.880965000,3.13%,18.2584%,17%,23%
1746389017.957525080,41.77%,19.3535%,3%,12%
1746389049.057961955,31.84%,18.5982%,6%,12%
1746389080.151636265,27.52%,25.353%,6%,24%
1746389111.271663584,26.50%,25.4636%,2%,24%
1746389142.370112580,25.21%,24.7514%,2%,23%
1746389173.439385523,3.22%,18.9851%,18%,23%
1746389204.517449384,3.09%,18.401%,18%,23%
1746389235.599434530,3.16%,18.342%,18%,23%
1746389266.674573665,3.25%,18.3047%,18%,23%
1746389297.750099305,3.19%,18.2932%,18%,23%
1746389328.834438797,3.13%,18.2494%,18%,23%
1746389359.913076174,3.13%,18.2564%,18%,23%
1746389390.987881223,3.09%,18.2469%,33%,23%
1746389422.071055870,3.22%,18.264%,20%,23%
1746389453.144574075,3.15%,18.2641%,19%,23%
1746389484.221411786,3.16%,18.2628%,18%,23%
1746389515.298457878,3.13%,18.2784%,17%,23%
1746389546.372773438,43.60%,20.0714%,5%,11%
Total duration: 2704s (00:45:04)
