timestamp,cpu_percent,mem_percent,gpu_util_percent,gpu_mem_used_mb
1746393729.310704322,22.57%,19.6367%,0%,1%
1746393760.405671547,44.39%,19.2628%,0%,1%
1746393791.481531164,14.47%,18.4121%,0%,1%
1746393822.558765799,41.58%,19.5447%,0%,1%
1746393853.632107994,3.06%,18.5273%,0%,1%
1746393884.714156239,29.01%,19.6737%,3%,1%
1746393915.796602469,22.23%,18.4849%,0%,1%
1746393946.878164732,3.00%,18.6922%,0%,1%
1746393977.966642656,37.16%,20.1579%,0%,1%
1746394009.057290460,17.54%,20.163%,0%,1%
1746394040.132462287,42.33%,20.2151%,0%,1%
1746394071.220242382,2.94%,18.9026%,0%,1%
1746394102.303243714,33.16%,20.1237%,0%,1%
1746394133.403927441,34.92%,20.0114%,0%,1%
1746394164.489197108,35.21%,20.2602%,0%,1%
1746394195.560523822,41.06%,20.2161%,0%,1%
1746394226.645068789,31.96%,20.0279%,0%,1%
1746394257.730851248,30.33%,20.1946%,0%,1%
1746394288.811744085,43.60%,20.282%,0%,1%
1746394319.893643420,34.72%,20.0245%,0%,1%
1746394351.014774088,19.43%,19.0231%,0%,1%
1746394382.095484914,27.45%,20.8591%,0%,1%
1746394413.251216231,23.01%,20.4399%,0%,1%
1746394444.343551850,35.12%,20.3681%,0%,1%
1746394475.414168182,33.23%,20.3394%,0%,1%
1746394506.538568133,23.61%,20.5626%,0%,1%
1746394537.637656568,3.06%,19.3001%,0%,1%
1746394568.715464780,37.65%,20.4705%,0%,1%
1746394599.810992306,3.13%,19.1714%,0%,1%
1746394630.891601601,40.65%,20.7727%,0%,1%
1746394661.968898594,21.74%,19.3063%,0%,1%
1746394693.059187094,2.91%,19.2614%,0%,1%
1746394724.146005175,25.88%,21.0301%,0%,1%
1746394755.248418967,2.91%,19.3871%,0%,1%
1746394786.325898843,22.80%,21.1057%,0%,1%
1746394817.400743346,4.42%,19.6118%,0%,1%
1746394848.479005318,20.48%,20.9863%,0%,1%
1746394879.557025447,3.19%,19.6355%,0%,1%
1746394910.634382813,19.99%,20.9843%,0%,1%
1746394941.715076998,2.81%,19.7004%,0%,1%
1746394972.795767956,29.97%,21.0062%,0%,1%
1746395003.872202050,9.31%,19.7177%,0%,1%
1746395034.955019698,33.34%,19.7476%,0%,1%
