timestamp,cpu_percent,mem_percent,gpu_util_percent,gpu_mem_used_mb
1746825738.395335586,3.04%,16.4992%,0%,1%
1746825769.483988987,32.06%,19.7135%,0%,1%
1746825800.608391354,2.78%,17.0673%,0%,1%
1746825831.689503373,3.06%,17.4921%,0%,1%
1746825862.776399338,3.19%,17.0701%,0%,1%
1746825893.864262366,20.06%,20.0158%,0%,1%
1746825924.963581397,3.31%,17.5389%,3%,1%
1746825956.044594691,23.04%,20.3362%,0%,1%
1746825987.122328655,14.46%,21.8462%,2%,1%
1746826018.199459799,5.21%,20.1295%,6%,1%
1746826049.282263781,20.70%,24.1143%,3%,2%
1746826080.360276137,3.13%,21.4154%,0%,2%
1746826111.454494974,9.29%,24.1025%,0%,1%
1746826142.543911636,2.97%,21.5808%,0%,1%
1746826173.632712042,8.71%,22.0659%,0%,1%
1746826204.715569764,3.00%,19.8648%,0%,1%
1746826235.795522108,3.13%,19.3321%,0%,1%
1746826266.890408216,3.35%,18.605%,3%,1%
1746826297.972564764,10.65%,22.1872%,0%,1%
1746826329.060882265,3.16%,19.5102%,0%,1%
1746826360.153222699,2.97%,19.8147%,0%,1%
1746826391.238432502,3.09%,19.9813%,0%,1%
1746826422.319102903,3.16%,22.1649%,0%,1%
1746826453.402987210,3.12%,20.073%,0%,1%
1746826484.489390321,3.19%,22.2953%,0%,1%
1746826515.575372072,3.16%,19.5881%,0%,1%
1746826546.659765874,3.09%,19.5959%,0%,1%
1746826577.747813088,19.72%,22.7286%,0%,1%
1746826608.822886784,3.13%,20.182%,0%,1%
1746826639.908782974,28.63%,22.8024%,0%,1%
1746826670.999954406,3.19%,20.4807%,0%,1%
1746826702.087281530,3.00%,19.6476%,0%,1%
1746826733.172124936,10.83%,23.2609%,0%,1%
1746826764.261850557,3.13%,20.6062%,0%,1%
1746826795.351877653,2.91%,21.0052%,0%,1%
1746826826.439436642,10.12%,23.2078%,0%,1%
1746826857.545857009,2.94%,20.7306%,0%,1%
1746826888.634671231,26.58%,23.311%,0%,1%
1746826919.726958095,11.17%,20.8897%,0%,1%
1746826950.913971852,3.19%,20.9242%,0%,1%
1746826981.993898108,11.83%,23.4656%,0%,1%
1746827013.080363976,3.13%,20.5288%,0%,1%
1746827044.165119277,3.16%,20.5009%,0%,1%
1746827075.258179030,3.22%,21.2711%,0%,1%
1746827106.345000936,3.34%,21.1566%,0%,1%
1746827137.434033458,2.81%,22.3328%,0%,1%
1746827168.518977733,10.03%,23.9267%,0%,1%
1746827199.610773566,2.94%,21.0748%,0%,1%
1746827230.697170074,13.07%,24.1183%,0%,1%
1746827261.834442216,3.67%,21.2647%,8%,1%
1746827292.925111326,3.12%,21.1388%,0%,1%
1746827324.014513601,15.12%,24.2337%,0%,1%
1746827355.155029825,3.16%,21.3111%,0%,1%
1746827386.251273830,14.72%,24.2745%,0%,1%
1746827417.383543400,3.19%,21.6076%,0%,1%
1746827448.468179848,3.28%,21.0978%,19%,1%
1746827479.558980124,11.20%,24.4132%,0%,1%
1746827510.646455195,3.16%,21.5698%,0%,1%
1746827541.734925051,3.06%,21.5412%,0%,1%
1746827572.814941085,19.58%,24.6125%,0%,1%
1746827603.902534508,3.19%,21.7092%,0%,1%
1746827634.991354250,1.85%,23.3015%,0%,1%
1746827666.074207053,29.09%,24.7451%,0%,1%
1746827697.198670315,3.13%,21.538%,0%,1%
1746827728.279590554,3.25%,24.405%,0%,1%
1746827759.360547222,3.16%,21.8382%,0%,1%
1746827790.441602644,2.94%,21.1999%,0%,1%
1746827821.532380899,12.06%,24.6378%,0%,1%
1746827852.627164966,3.09%,21.7049%,0%,1%
1746827883.716998620,3.60%,21.6261%,0%,1%
1746827914.799057585,3.06%,23.4915%,0%,1%
1746827945.881535274,21.22%,25.0716%,0%,1%
1746827976.976814399,3.22%,22.1162%,0%,1%
1746828008.065500682,4.27%,24.8834%,11%,1%
1746828039.144412495,3.25%,22.0754%,0%,1%
1746828070.230156519,3.22%,21.2819%,0%,1%
1746828101.317261156,21.94%,24.8456%,0%,1%
1746828132.413249551,3.13%,22.0627%,0%,1%
1746828163.500814200,3.16%,21.1777%,0%,1%
1746828194.589663568,10.49%,25.5159%,0%,1%
1746828225.676273406,3.18%,21.8677%,22%,1%
1746828256.763288755,3.10%,21.1342%,0%,1%
1746828287.838242586,27.66%,25.5168%,0%,1%
1746828318.914354168,3.22%,21.7449%,0%,1%
1746828349.994202417,3.19%,21.7116%,0%,1%
1746828381.074938931,9.91%,25.8372%,0%,1%
1746828412.155283601,3.12%,22.1522%,0%,1%
1746828443.235473090,3.44%,21.1691%,0%,1%
1746828474.324942971,1.34%,24.8169%,0%,1%
1746828505.421495505,3.10%,25.8487%,0%,1%
1746828536.502105402,3.19%,21.9374%,0%,1%
1746828567.592854031,39.09%,25.2092%,0%,1%
1746828598.672273496,3.16%,22.4683%,0%,1%
1746828629.762017342,3.25%,22.5959%,0%,1%
1746828660.852199950,3.25%,21.1427%,0%,1%
1746828691.933918927,25.07%,26.2134%,0%,1%
1746828723.019563505,3.13%,22.3512%,0%,1%
1746828754.106017822,2.94%,22.2308%,0%,1%
1746828785.185440663,7.24%,26.3293%,18%,1%
1746828816.272893572,5.88%,26.318%,0%,1%
1746828847.354319199,3.19%,21.2674%,0%,1%
1746828878.442574613,2.91%,22.408%,0%,1%
1746828909.523401838,22.67%,26.2114%,0%,1%
1746828940.615527780,3.22%,21.1304%,0%,1%
1746828971.706363633,1.41%,25.1493%,0%,1%
1746829002.787101491,11.28%,25.3989%,0%,1%
1746829033.868009777,3.25%,21.401%,0%,1%
1746829064.948839206,2.53%,22.2348%,7%,1%
1746829096.038027620,3.19%,21.2561%,0%,1%
1746829127.117567521,2.97%,21.1842%,0%,1%
1746829158.199762590,16.49%,25.8869%,0%,1%
1746829189.286249438,3.06%,21.3747%,0%,1%
1746829220.376917787,2.94%,21.3663%,0%,1%
1746829251.463900926,3.32%,26.0183%,0%,1%
1746829282.554186837,3.28%,21.195%,0%,1%
1746829313.636131668,3.12%,21.1357%,0%,1%
1746829344.715722795,3.22%,25.8645%,0%,1%
1746829375.805708574,3.13%,21.2535%,0%,1%
1746829406.895129724,5.55%,21.3606%,0%,1%
1746829437.974383759,2.88%,23.8161%,0%,1%
1746829469.055292516,15.03%,26.6694%,0%,1%
1746829500.160192483,3.16%,21.3331%,0%,1%
1746829531.249660691,3.09%,21.2713%,0%,1%
1746829562.329866951,18.87%,26.2856%,0%,1%
1746829593.410074354,2.28%,21.2534%,0%,1%
1746829624.498008786,3.13%,21.1669%,0%,1%
1746829655.580190010,2.56%,21.3554%,0%,1%
1746829686.669857502,3.19%,21.1996%,0%,1%
1746829717.760789736,3.19%,21.1663%,0%,1%
1746829748.852845206,37.88%,25.9488%,0%,1%
1746829779.939191680,3.19%,21.3507%,0%,1%
1746829811.020754905,3.35%,21.3891%,0%,1%
1746829842.095626442,1.62%,25.3742%,0%,1%
1746829873.175702899,3.32%,26.7005%,0%,1%
1746829904.262855485,3.09%,22.5713%,0%,1%
1746829935.342878612,2.97%,22.5729%,0%,1%
1746829966.431831133,15.22%,26.4025%,0%,1%
1746829997.529414259,3.22%,22.3033%,15%,1%
1746830028.617212275,3.10%,22.2755%,0%,1%
1746830059.699054313,19.42%,26.0733%,0%,1%
1746830090.829696842,3.16%,22.3035%,0%,1%
1746830121.909480490,3.00%,21.0602%,0%,1%
1746830152.995396618,3.07%,25.8796%,0%,1%
1746830184.081280445,3.18%,22.6931%,0%,1%
1746830215.170233577,3.00%,22.5424%,0%,1%
1746830246.259483636,8.45%,26.3653%,72%,1%
1746830277.359752539,3.15%,22.3417%,0%,1%
1746830308.445953590,3.25%,22.5201%,0%,1%
1746830339.527714746,3.10%,26.3083%,0%,1%
1746830370.611202701,27.40%,26.6194%,0%,1%
1746830401.703716160,3.22%,21.0707%,11%,1%
1746830432.793354287,3.19%,22.3267%,0%,1%
1746830463.882057791,21.34%,26.6832%,0%,1%
1746830494.973526080,3.19%,21.1105%,0%,1%
1746830526.062166737,2.91%,21.0431%,0%,1%
1746830557.150848370,27.35%,26.26%,0%,1%
1746830588.248401580,21.95%,26.8077%,0%,1%
1746830619.348307822,3.19%,22.6288%,0%,1%
1746830650.434863208,3.28%,22.6378%,0%,1%
1746830681.514872850,3.10%,26.6871%,0%,1%
1746830712.595795734,3.19%,21.0156%,0%,1%
1746830743.683490216,3.00%,20.985%,0%,1%
1746830774.771503166,3.22%,26.1845%,0%,1%
1746830805.857747589,3.16%,21.2244%,0%,1%
1746830836.937119605,3.44%,21.247%,22%,1%
1746830868.018673111,2.87%,22.2002%,0%,1%
1746830899.108631880,45.38%,27.1893%,0%,1%
1746830930.195706670,3.19%,22.9911%,3%,1%
1746830961.275198811,2.60%,22.8529%,0%,1%
1746830992.357049084,3.25%,26.816%,0%,1%
1746831023.446874403,3.19%,21.0668%,0%,1%
1746831054.534924632,5.63%,21.0981%,4%,1%
1746831085.623384620,7.35%,26.3167%,0%,1%
1746831116.722168146,3.10%,23.1294%,0%,1%
1746831147.802500303,3.25%,22.9029%,0%,1%
1746831178.892198713,1.50%,24.9214%,0%,1%
1746831209.980508479,13.13%,27.2784%,0%,1%
1746831241.054033791,3.16%,21.225%,0%,1%
1746831272.143216795,2.66%,21.139%,0%,1%
1746831303.231835641,3.16%,26.9736%,0%,1%
1746831334.319324738,3.22%,21.1384%,0%,1%
1746831365.409290700,60.20%,21.1111%,0%,1%
1746831396.631005749,3.16%,21.0987%,9%,1%
1746831427.710350624,17.42%,27.5566%,0%,1%
1746831458.799658933,3.19%,21.2128%,0%,1%
